"","shift","t","RR","RR.CI.low","RR.CI.high","RD","RD.CI.low","RD.CI.high"
"1","i",1,0,0,0,0,0,0
"2","i",2,0.747,0.688,0.811,-0.001263,-0.001629,-0.000898
"3","i",3,0.814,0.761,0.871,-0.00173,-0.002296,-0.001164
"4","i",4,0.779,0.733,0.827,-0.003056,-0.003784,-0.002328
"5","i",0,0.726,0.686,0.768,-0.004993,-0.005864,-0.004122
"6","ii",1,0,0,0,0,0,0
"7","ii",2,0.93,0.795,1.087,-0.00035,-0.001078,0.000377
"8","ii",3,1.018,0.918,1.129,0.000171,-0.000809,0.001151
"9","ii",4,1.015,0.932,1.106,0.000209,-0.000988,0.001406
"10","ii",0,0.935,0.866,1.009,-0.001186,-0.002486,0.000114
"11","iii",1,0,0,0,0,0,0
"12","iii",2,0.877,0.815,0.943,-0.000614,-0.000962,-0.000266
"13","iii",3,0.907,0.856,0.96,-0.000872,-0.001387,-0.000356
"14","iii",4,0.874,0.83,0.92,-0.001743,-0.00241,-0.001077
"15","iii",0,0.842,0.802,0.884,-0.002873,-0.003695,-0.002052
