"","shift","t","RR","RR.CI.low","RR.CI.high","RD","RD.CI.low","RD.CI.high"
"1","i",1,0,0,0,-0.001097,-0.001454,-0.00074
"2","i",2,0.815,0.765,0.869,-0.002643,-0.003161,-0.002125
"3","i",3,0.76,0.721,0.8,-0.003929,-0.004603,-0.003256
"4","i",4,0.75,0.715,0.787,-0.004812,-0.005652,-0.003972
"5","i",0,0.762,0.727,0.798,0,0,0
"6","ii",1,0,0,0,-8.6e-05,-0.00068,0.000508
"7","ii",2,0.986,0.89,1.091,0.000268,-0.000634,0.00117
"8","ii",3,1.024,0.946,1.11,-0.000609,-0.001583,0.000365
"9","ii",4,0.961,0.901,1.025,-0.000263,-0.00147,0.000945
"10","ii",0,0.987,0.929,1.049,0,0,0
"11","iii",1,0,0,0,-0.000682,-0.001025,-0.000338
"12","iii",2,0.885,0.834,0.94,-0.002135,-0.002628,-0.001641
"13","iii",3,0.806,0.769,0.845,-0.003306,-0.003941,-0.002672
"14","iii",4,0.79,0.756,0.824,-0.003441,-0.004235,-0.002646
"15","iii",0,0.83,0.796,0.865,0,0,0
