"ICD9","ICD10 #1","ICD10 #2","ICD10 #3","ICD10 #4","ICD10 #5","ICD10 #6","ICD10 #7","ICD10 #8","ICD10 #9","ICD10 #10","ICD10 #11","ICD10 #12","ICD10 #13","ICD10 #14","ICD10 #15","ICD10 #16"
689,"0G5R0ZZ","0G5R3ZZ","0G5R4ZZ","0GBR0ZZ","0GBR3ZZ","0GBR4ZZ","0UT90ZZ","0UT94ZZ",NA,NA,NA,NA,NA,NA,NA,NA
4382,"0DB64Z3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4438,"0D16479","0D1647A","0D164J9","0D164JA","0D164K9","0D164KA","0D164Z9","0D164ZA",NA,NA,NA,NA,NA,NA,NA,NA
4439,"0D16079","0D1607A","0D160J9","0D160JA","0D160K9","0D160KA","0D160Z9","0D160ZA","0D16879","0D1687A","0D168J9","0D168JA","0D168K9","0D168KA","0D168Z9","0D168ZA"
4464,"0DS60ZZ","0DS64ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4466,"0DV40CZ","0DV40DZ","0DV40ZZ","0DV43CZ","0DV43DZ","0DV43ZZ","0DV47DZ","0DV47ZZ","0DV48DZ","0DV48ZZ",NA,NA,NA,NA,NA,NA
4467,"0DV44CZ","0DV44DZ","0DV44ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4468,"0DQ64ZZ","0DV64CZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4495,"0DV64CZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4498,"3E0G3GC","3E0G4GC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4573,"0DTF0ZZ","0DTF7ZZ","0DTF8ZZ","0DTK0ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4581,"0DTE4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4582,"0DTE0ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4583,"0DTE7ZZ","0DTE8ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5351,"0WQF0ZZ","0WQF3ZZ","0WQF4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5359,"0WQF0ZZ","0WQF3ZZ","0WQF4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5361,"0WUF07Z","0WUF0JZ","0WUF0KZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5362,"0WUF47Z","0WUF4JZ","0WUF4KZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5363,"0WUF47Z","0WUF4JZ","0WUF4KZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5369,"0WUF07Z","0WUF0JZ","0WUF0KZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5371,"0BQT4ZZ","0BRT47Z","0BRT4JZ","0BRT4KZ","0BUT47Z","0BUT4JZ","0BUT4KZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
5372,"0BQT0ZZ","0BQT3ZZ","0BRT07Z","0BRT0JZ","0BRT0KZ","0BUT07Z","0BUT0JZ","0BUT0KZ",NA,NA,NA,NA,NA,NA,NA,NA
5375,"0BQT0ZZ","0BQT3ZZ","0BQT4ZZ","0BRT07Z","0BRT0JZ","0BRT0KZ","0BRT47Z","0BRT4JZ","0BRT4KZ","0BUT07Z","0BUT0JZ","0BUT0KZ","0BUT47Z","0BUT4JZ","0BUT4KZ",NA
5380,"0BQT0ZZ","0BQT3ZZ","0BQT4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5383,"0BQT4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5384,"0BQT0ZZ","0BQT3ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6831,"0UT94ZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6839,"0UT90ZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6841,"0UT94ZZ","0UTC4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6849,"0UT90ZZ","0UTC0ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6851,"0UT9FZL","0UT9FZZ","0UTC4ZZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
