"ICD10": "definition"
"F1010": "Alcohol abuse, uncomplicated"
"F1011": "Alcohol abuse, in remission"
"F10120": "Alcohol abuse with intoxication, uncomplicated"
"F10121": "Alcohol abuse with intoxication delirium"
"F10129": "Alcohol abuse with intoxication, unspecified"
"F1014": "Alcohol abuse with alcohol-induced mood disorder"
"F10150": "Alcohol abuse with alcohol-induced psychotic disorder with delusions"
"F10151": "Alcohol abuse with alcohol-induced psychotic disorder with hallucinations"
"F10159": "Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
"F10180": "Alcohol abuse with alcohol-induced anxiety disorder"
"F10181": "Alcohol abuse with alcohol-induced sexual dysfunction"
"F10182": "Alcohol abuse with alcohol-induced sleep disorder"
"F10188": "Alcohol abuse with other alcohol-induced disorder"
"F1019": "Alcohol abuse with unspecified alcohol-induced disorder"
"F1020": "Alcohol dependence, uncomplicated"
"F1021": "Alcohol dependence, in remission"
"F10220": "Alcohol dependence with intoxication, uncomplicated"
"F10221": "Alcohol dependence with intoxication delirium"
"F10229": "Alcohol dependence with intoxication, unspecified"
"F10230": "Alcohol dependence with withdrawal, uncomplicated"
"F10231": "Alcohol dependence with withdrawal delirium"
"F10232": "Alcohol dependence with withdrawal with perceptual disturbance"
"F10239": "Alcohol dependence with withdrawal, unspecified"
"F1024": "Alcohol dependence with alcohol-induced mood disorder"
"F10250": "Alcohol dependence with alcohol-induced psychotic disorder with delusions"
"F10251": "Alcohol dependence with alcohol-induced psychotic disorder with hallucinations"
"F10259": "Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
"F1026": "Alcohol dependence with alcohol-induced persisting amnestic disorder"
"F1027": "Alcohol dependence with alcohol-induced persisting dementia"
"F10280": "Alcohol dependence with alcohol-induced anxiety disorder"
"F10281": "Alcohol dependence with alcohol-induced sexual dysfunction"
"F10282": "Alcohol dependence with alcohol-induced sleep disorder"
"F10288": "Alcohol dependence with other alcohol-induced disorder"
"F1029": "Alcohol dependence with unspecified alcohol-induced disorder"
