"ICD10": "definition"
"F17200": "Nicotine dependence, unspecified, uncomplicated"
"F17201": "Nicotine dependence, unspecified, in remission"
"F17203": "Nicotine dependence unspecified, with withdrawal"
"F17208": "Nicotine dependence, unspecified, with other nicotine-induced disorders"
"F17209": "Nicotine dependence, unspecified, with unspecified nicotine-induced disorders"
"F17210": "Nicotine dependence, cigarettes, uncomplicated"
"F17211": "Nicotine dependence, cigarettes, in remission"
"F17213": "Nicotine dependence, cigarettes, with withdrawal"
"F17218": "Nicotine dependence, cigarettes, with other nicotine-induced disorders"
"F17219": "Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders"
"F17220": "Nicotine dependence, chewing tobacco, uncomplicated"
"F17221": "Nicotine dependence, chewing tobacco, in remission"
"F17223": "Nicotine dependence, chewing tobacco, with withdrawal"
"F17228": "Nicotine dependence, chewing tobacco, with other nicotine-induced disorders"
"F17229": "Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders"
"F17290": "Nicotine dependence, other tobacco product, uncomplicated"
"F17291": "Nicotine dependence, other tobacco product, in remission"
"F17293": "Nicotine dependence, other tobacco product, with withdrawal"
"F17298": "Nicotine dependence, other tobacco product, with other nicotine-induced disorders"
"F17299": "Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders"
"Z87891": "Personal history of nicotine dependence"
