"ICD10": "definition"
"F1110": "Opioid abuse, uncomplicated"
"F1111": "Opioid abuse, in remission"
"F11120": "Opioid abuse with intoxication, uncomplicated"
"F11121": "Opioid abuse with intoxication delirium"
"F11122": "Opioid abuse with intoxication with perceptual disturbance"
"F11129": "Opioid abuse with intoxication, unspecified"
"F1114": "Opioid abuse with opioid-induced mood disorder"
"F11150": "Opioid abuse with opioid-induced psychotic disorder with delusions"
"F11151": "Opioid abuse with opioid-induced psychotic disorder with hallucinations"
"F11159": "Opioid abuse with opioid-induced psychotic disorder, unspecified"
"F11181": "Opioid abuse with opioid-induced sexual dysfunction"
"F11182": "Opioid abuse with opioid-induced sleep disorder"
"F11188": "Opioid abuse with other opioid-induced disorder"
"F1119": "Opioid abuse with unspecified opioid-induced disorder"
"F1120": "Opioid dependence, uncomplicated"
"F1121": "Opioid dependence, in remission"
"F11220": "Opioid dependence with intoxication, uncomplicated"
"F11221": "Opioid dependence with intoxication delirium"
"F11222": "Opioid dependence with intoxication with perceptual disturbance"
"F11229": "Opioid dependence with intoxication, unspecified"
"F1123": "Opioid dependence with withdrawal"
"F1124": "Opioid dependence with opioid-induced mood disorder"
"F11250": "Opioid dependence with opioid-induced psychotic disorder with delusions"
"F11251": "Opioid dependence with opioid-induced psychotic disorder with hallucinations"
"F11259": "Opioid dependence with opioid-induced psychotic disorder, unspecified"
"F11281": "Opioid dependence with opioid-induced sexual dysfunction"
"F11282": "Opioid dependence with opioid-induced sleep disorder"
"F11288": "Opioid dependence with other opioid-induced disorder"
"F1129": "Opioid dependence with unspecified opioid-induced disorder"
"F1210": "Cannabis abuse, uncomplicated"
"F1211": "Cannabis abuse, in remission"
"F12120": "Cannabis abuse with intoxication, uncomplicated"
"F12121": "Cannabis abuse with intoxication delirium"
"F12122": "Cannabis abuse with intoxication with perceptual disturbance"
"F12129": "Cannabis abuse with intoxication, unspecified"
"F12150": "Cannabis abuse with psychotic disorder with delusions"
"F12151": "Cannabis abuse with psychotic disorder with hallucinations"
"F12159": "Cannabis abuse with psychotic disorder, unspecified"
"F12180": "Cannabis abuse with cannabis-induced anxiety disorder"
"F12188": "Cannabis abuse with other cannabis-induced disorder"
"F1219": "Cannabis abuse with unspecified cannabis-induced disorder"
"F1220": "Cannabis dependence, uncomplicated"
"F1221": "Cannabis dependence, in remission"
"F12220": "Cannabis dependence with intoxication, uncomplicated"
"F12221": "Cannabis dependence with intoxication delirium"
"F12222": "Cannabis dependence with intoxication with perceptual disturbance"
"F12229": "Cannabis dependence with intoxication, unspecified"
"F12250": "Cannabis dependence with psychotic disorder with delusions"
"F12251": "Cannabis dependence with psychotic disorder with hallucinations"
"F12259": "Cannabis dependence with psychotic disorder, unspecified"
"F12280": "Cannabis dependence with cannabis-induced anxiety disorder"
"F12288": "Cannabis dependence with other cannabis-induced disorder"
"F1229": "Cannabis dependence with unspecified cannabis-induced disorder"
"F1310": "Sedative, hypnotic or anxiolytic abuse, uncomplicated"
"F1311": "Sedative, hypnotic or anxiolytic abuse, in remission"
"F13120": "Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
"F13121": "Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
"F13129": "Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
"F1314": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
"F13150": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"F13151": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"F13159": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"F13180": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F13181": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
"F13182": "Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
"F13188": "Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
"F1319": "Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F1320": "Sedative, hypnotic or anxiolytic dependence, uncomplicated"
"F1321": "Sedative, hypnotic or anxiolytic dependence, in remission"
"F13220": "Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
"F13221": "Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
"F13229": "Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
"F13230": "Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
"F13231": "Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
"F13232": "Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
"F13239": "Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
"F1324": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
"F13250": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"F13251": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"F13259": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"F1326": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
"F1327": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
"F13280": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F13281": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
"F13282": "Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
"F13288": "Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
"F1329": "Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F1410": "Cocaine abuse, uncomplicated"
"F1411": "Cocaine abuse, in remission"
"F14120": "Cocaine abuse with intoxication, uncomplicated"
"F14121": "Cocaine abuse with intoxication with delirium"
"F14122": "Cocaine abuse with intoxication with perceptual disturbance"
"F14129": "Cocaine abuse with intoxication, unspecified"
"F1414": "Cocaine abuse with cocaine-induced mood disorder"
"F14150": "Cocaine abuse with cocaine-induced psychotic disorder with delusions"
"F14151": "Cocaine abuse with cocaine-induced psychotic disorder with hallucinations"
"F14159": "Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
"F14180": "Cocaine abuse with cocaine-induced anxiety disorder"
"F14181": "Cocaine abuse with cocaine-induced sexual dysfunction"
"F14182": "Cocaine abuse with cocaine-induced sleep disorder"
"F14188": "Cocaine abuse with other cocaine-induced disorder"
"F1419": "Cocaine abuse with unspecified cocaine-induced disorder"
"F1420": "Cocaine dependence, uncomplicated"
"F1421": "Cocaine dependence, in remission"
"F14220": "Cocaine dependence with intoxication, uncomplicated"
"F14221": "Cocaine dependence with intoxication delirium"
"F14222": "Cocaine dependence with intoxication with perceptual disturbance"
"F14229": "Cocaine dependence with intoxication, unspecified"
"F1423": "Cocaine dependence with withdrawal"
"F1424": "Cocaine dependence with cocaine-induced mood disorder"
"F14250": "Cocaine dependence with cocaine-induced psychotic disorder with delusions"
"F14251": "Cocaine dependence with cocaine-induced psychotic disorder with hallucinations"
