"moud_med","ndc","strength","form","check"
"bup","00054018813",NA,"tablet",0
"bup","00054018913",NA,"tablet",0
"bup","00093572056",NA,"tablet",0
"bup","00093572156",NA,"tablet",0
"bup","00228315403",NA,"tablet",0
"bup","00228315473",NA,"tablet",0
"bup","00228315503",NA,"tablet",0
"bup","00228315567",NA,"tablet",0
"bup","00228315573",NA,"tablet",0
"bup","00378876716",NA,"film",0
"bup","00378876793",NA,"film",0
"bup","00378876816",NA,"film",0
"bup","00378876893",NA,"film",0
"bup","00406192303",NA,"tablet",0
"bup","00406192309",NA,"tablet",0
"bup","00406192403",NA,"tablet",0
"bup","00406192409",NA,"tablet",0
"bup","00406800503",NA,"tablet",0
"bup","00406802003",NA,"tablet",0
"bup","00490005100",NA,"tablet",0
"bup","00490005130",NA,"tablet",0
"bup","00490005160",NA,"tablet",0
"bup","00490005190",NA,"tablet",0
"bup","00781721664",NA,"film",0
"bup","00781722764",NA,"film",0
"bup","00781723806",NA,"film",0
"bup","00781723864",NA,"film",0
"bup","00781724964",NA,"film",0
"bup","12496120201",NA,"film",0
"bup","12496120203",NA,"film",0
"bup","12496120401",NA,"film",0
"bup","12496120403",NA,"film",0
"bup","12496120801",NA,"film",0
"bup","12496120803",NA,"film",0
"bup","12496121201",NA,"film",0
"bup","12496121203",NA,"film",0
"bup","12496128302",NA,"tablet",0
"bup","12496130602",NA,"tablet",0
"bup","16590066605",NA,"tablet",0
"bup","16590066630",NA,"tablet",0
"bup","16590066705",NA,"tablet",0
"bup","16590066730",NA,"tablet",0
"bup","16590066790",NA,"tablet",0
"bup","23490927003",NA,"tablet",0
"bup","23490927006",NA,"tablet",0
"bup","23490927009",NA,"tablet",0
"bup","35356000407",NA,"tablet",0
"bup","35356000430",NA,"tablet",0
"bup","42291017430",NA,"tablet",0
"bup","42291017530",NA,"tablet",0
"bup","43063018407",NA,"tablet",0
"bup","43063018430",NA,"tablet",0
"bup","43598057901",NA,"film",0
"bup","43598057930",NA,"film",0
"bup","43598058001",NA,"film",0
"bup","43598058030",NA,"film",0
"bup","43598058101",NA,"film",0
"bup","43598058130",NA,"film",0
"bup","43598058201",NA,"film",0
"bup","43598058230",NA,"film",0
"bup","47781035503",NA,"film",0
"bup","47781035603",NA,"film",0
"bup","47781035703",NA,"film",0
"bup","47781035803",NA,"film",0
"bup","47781071203",NA,"film",0
"bup","47781071211",NA,"film",0
"bup","49999039507",NA,"tablet",0
"bup","49999039515",NA,"tablet",0
"bup","49999039530",NA,"tablet",0
"bup","50268014411",NA,"tablet",0
"bup","50268014415",NA,"tablet",0
"bup","50268014511",NA,"tablet",0
"bup","50268014515",NA,"tablet",0
"bup","50383028793",NA,"tablet",0
"bup","50383029493",NA,"tablet",0
"bup","52427069203",NA,"film",0
"bup","52427069211",NA,"film",0
"bup","52427069403",NA,"film",0
"bup","52427069411",NA,"film",0
"bup","52427069803",NA,"film",0
"bup","52427069811",NA,"film",0
"bup","52959030430",NA,"tablet",0
"bup","52959074930",NA,"tablet",0
"bup","53217013830",NA,"tablet",0
"bup","54123011430",NA,"tablet",0
"bup","54123090730",NA,"tablet",0
"bup","54123091430",NA,"tablet",0
"bup","54123092930",NA,"tablet",0
"bup","54123095730",NA,"tablet",0
"bup","54123098630",NA,"tablet",0
"bup","54569549600",NA,"tablet",0
"bup","54569573900",NA,"tablet",0
"bup","54569573901",NA,"tablet",0
"bup","54569573902",NA,"tablet",0
"bup","54569639900",NA,"film",0
"bup","54569640800",NA,"tablet",0
"bup","54868570700",NA,"tablet",0
"bup","54868570701",NA,"tablet",0
"bup","54868570702",NA,"tablet",0
"bup","54868570703",NA,"tablet",0
"bup","54868570704",NA,"tablet",0
"bup","54868575000",NA,"tablet",0
"bup","55045378403",NA,"tablet",0
"bup","55700014730",NA,"film",0
"bup","55700018430",NA,"tablet",0
"bup","55887031204",NA,"tablet",0
"bup","55887031215",NA,"tablet",0
"bup","59385001201",NA,"film",0
"bup","59385001230",NA,"film",0
"bup","59385001401",NA,"film",0
"bup","59385001430",NA,"film",0
"bup","59385001601",NA,"film",0
"bup","59385001630",NA,"film",0
"bup","60429058630",NA,"tablet",0
"bup","60429058633",NA,"tablet",0
"bup","60429058730",NA,"tablet",0
"bup","60429058733",NA,"tablet",0
"bup","60846097003",NA,"tablet",0
"bup","60846097103",NA,"tablet",0
"bup","62175045232",NA,"tablet",0
"bup","62175045832",NA,"tablet",0
"bup","62756096964",NA,"tablet",0
"bup","62756096983",NA,"tablet",0
"bup","62756097064",NA,"tablet",0
"bup","62756097083",NA,"tablet",0
"bup","63629403401",NA,"tablet",0
"bup","63629403402",NA,"tablet",0
"bup","63629403403",NA,"tablet",0
"bup","63629507401",NA,"tablet",0
"bup","63629727001",NA,"tablet",0
"bup","63629727002",NA,"tablet",0
"bup","63874108403",NA,"tablet",0
"bup","63874108503",NA,"tablet",0
"bup","65162041503",NA,"tablet",0
"bup","65162041509",NA,"tablet",0
"bup","65162041603",NA,"tablet",0
"bup","65162041609",NA,"tablet",0
"bup","66336001530",NA,"tablet",0
"bup","66336001630",NA,"tablet",0
"bup","68071138003",NA,"tablet",0
"bup","68071151003",NA,"tablet",0
"bup","68258299903",NA,"tablet",0
"bup","00378876593",NA,"film",0
"bup","00378876693",NA,"film",0
"bup","00054017613",2,"tablet",1
"bup","00054017713",8,"tablet",1
"bup","00093537856",2,"tablet",1
"bup","00093537956",8,"tablet",1
"bup","00228315303",8,"tablet",1
"bup","00228315603",2,"tablet",1
"bup","00378092393",2,"tablet",1
"bup","00378092493",8,"tablet",1
"bup","12496127802",2,"tablet",1
"bup","12496131002",8,"tablet",1
"bup","35356055530",2,"tablet",1
"bup","35356055630",8,"tablet",1
"bup","42858050103",2,"tablet",1
"bup","42858050203",8,"tablet",1
"bup","43063066706",8,"tablet",1
"bup","43063075306",8,"tablet",1
"bup","49999063830",2,"tablet",1
