"shift","t","RR","RR.CI.low","RR.CI.high","RD","RD.CI.low","RD.CI.high"
"i",1,0.843,0.787,0.9,-0.000917,-0.001289,-0.000545
"i",2,0.804,0.761,0.847,-0.002076,-0.002601,-0.001551
"i",3,0.782,0.742,0.821,-0.003294,-0.003983,-0.002605
"i",4,0.734,0.699,0.769,-0.005062,-0.005875,-0.004248
"ii",1,0.974,0.865,1.082,-0.000155,-0.000789,0.00048
"ii",2,1.016,0.927,1.105,0.00017,-0.000767,0.001107
"ii",3,0.953,0.889,1.018,-0.000702,-0.001677,0.000273
"ii",4,0.987,0.922,1.052,-0.000244,-0.001477,0.000989
"iii",1,0.93,0.876,0.985,-0.000408,-0.000748,-6.9e-05
"iii",2,0.876,0.834,0.917,-0.001315,-0.001803,-0.000827
"iii",3,0.852,0.815,0.889,-0.002232,-0.002861,-0.001604
"iii",4,0.853,0.817,0.889,-0.002797,-0.003566,-0.002028
