"shift","t","RR","RR.CI.low","RR.CI.high","RD","RD.CI.low","RD.CI.high"
"i",1,0.914,0.849,0.985,-0.00053,-0.000966,-9.3e-05
"i",2,0.806,0.768,0.847,-0.002176,-0.002684,-0.001667
"i",3,0.781,0.746,0.817,-0.0035,-0.004154,-0.002846
"i",4,0.749,0.716,0.783,-0.005101,-0.005908,-0.004295
"ii",1,0.975,0.882,1.078,-0.000154,-0.000761,0.000452
"ii",2,1.016,0.94,1.098,0.000178,-0.000708,0.001064
"ii",3,0.976,0.919,1.037,-0.000379,-0.00132,0.000563
"ii",4,0.973,0.92,1.029,-0.000547,-0.001659,0.000566
"iii",1,0.938,0.901,0.977,-0.000383,-0.000618,-0.000147
"iii",2,0.927,0.899,0.957,-0.000815,-0.001138,-0.000492
"iii",3,0.917,0.891,0.944,-0.00132,-0.001739,-0.000901
"iii",4,0.89,0.866,0.915,-0.002232,-0.002723,-0.00174
